organization_name,discipline_name,grid_id,discipline_id,number_researchers,pct_insiders,pct_domesticoutsiders,pct_foreignoutsiders,grid_country_code,established_year,country_name,geo_region,latitude,longitude,continent
Monash University,Biological Sciences,grid.1002.3,6,770,24.545455932617188,41.03895950317383,34.415584564208984,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Chemical Sciences,grid.1002.3,3,376,24.20212745666504,35.106380462646484,40.69149017333984,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,"Language, Communication and Culture",grid.1002.3,20,50,36.0,40.0,24.0,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Physical Sciences,grid.1002.3,2,255,22.745098114013672,34.11764907836914,43.13725662231445,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Economics,grid.1002.3,14,117,31.623931884765625,36.75213623046875,31.623931884765625,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Education,grid.1002.3,13,150,51.33333206176758,26.666667938232425,22.0,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
University of Liverpool,All,grid.10025.36,99,2790,32.007171630859375,42.58064651489258,25.412187576293945,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Agricultural and Veterinary Sciences,grid.10025.36,7,120,41.66666412353516,37.5,20.83333206176757,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Medical and Health Sciences,grid.10025.36,11,782,30.179027557373047,50.51150894165039,19.30946350097656,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Environmental Sciences,grid.10025.36,5,40,30.00000190734864,37.5,32.5,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Information and Computing Sciences,grid.10025.36,8,93,23.655914306640625,36.55913925170898,39.78494644165039,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Economics,grid.10025.36,14,38,23.68421173095703,44.73684310913086,31.57894515991211,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Physical Sciences,grid.10025.36,2,227,34.801761627197266,37.4449348449707,27.753305435180664,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Engineering,grid.10025.36,9,251,28.286853790283203,39.84063720703125,31.87251091003418,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Mathematical Sciences,grid.10025.36,1,118,27.966102600097656,30.508474349975582,41.52542495727539,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,"Commerce, Management, Tourism and Services",grid.10025.36,15,56,25.0,48.21428680419922,26.78571319580078,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Biological Sciences,grid.10025.36,6,405,32.345680236816406,43.703704833984375,23.95061683654785,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Studies in Human Society,grid.10025.36,16,76,34.21052551269531,51.31579208374024,14.473684310913086,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Psychology and Cognitive Sciences,grid.10025.36,17,125,34.400001525878906,43.20000076293945,22.400001525878903,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Chemical Sciences,grid.10025.36,3,218,33.027523040771484,32.56880569458008,34.40367126464844,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Earth Sciences,grid.10025.36,4,75,41.33333206176758,41.33333206176758,17.33333396911621,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Liverpool,Technology,grid.10025.36,10,43,30.23255729675293,34.88372039794922,34.88372039794922,GB,1882,United Kingdom,Western and Northern Europe,53.406115,-2.965604,Europe
University of Queensland,Psychology and Cognitive Sciences,grid.1003.2,17,430,43.02325439453125,28.604650497436523,28.3720932006836,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Mathematical Sciences,grid.1003.2,1,100,35.0,18.0,47.0,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Engineering,grid.1003.2,9,536,41.417911529541016,18.09701538085937,40.48507690429688,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Chemical Sciences,grid.1003.2,3,402,32.58706283569336,22.388059616088867,45.02487564086914,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Biological Sciences,grid.1003.2,6,1104,36.050724029541016,25.81521797180176,38.13405990600586,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
