organization_name,for_division,grid_id,for_division_id,researchers,ResSameInst,ResSameCountry,ResOtherInstSameCountry,ResOtherCountry,country_code,latitude,longitude,univ_id
Chungbuk National University,Engineering,grid.254229.a,09,89,0.3595505617977528,0.8314606741573034,0.4719101123595506,0.1685393258426966,KR,36.628904,127.457518,3744
Gifu University,Engineering,grid.256342.4,09,87,0.5057471264367817,0.9540229885057471,0.4482758620689654,0.04597701149425293,JP,35.466381,136.737047,1093
Aligarh Muslim University,Engineering,grid.411340.3,09,89,0.8314606741573034,0.9213483146067416,0.0898876404494382,0.0786516853932584,IN,27.91737,78.077847,2460
Londrina State University,Engineering,grid.411400.0,09,83,0.6385542168674698,0.9759036144578314,0.33734939759036153,0.02409638554216864,BR,-23.32531,-51.19998,1490
University of Tennessee at Knoxville,Engineering,grid.411461.7,09,337,0.24629080118694363,0.7507418397626113,0.5044510385756678,0.24925816023738862,US,35.95593,-83.930143,1228
Fujian Normal University,Engineering,grid.411503.2,09,137,0.656934306569343,0.9124087591240876,0.25547445255474455,0.08759124087591241,CN,26.037128,119.310797,9626
Atatürk University,Engineering,grid.411445.1,09,88,0.8522727272727273,0.9545454545454546,0.10227272727272729,0.045454545454545414,TR,39.9029,41.25284,723
Iran University of Medical Sciences,Engineering,grid.411746.1,09,36,0.4166666666666667,0.9166666666666666,0.49999999999999994,0.08333333333333331,IR,35.748348,51.380363,9950
Heilongjiang University,Engineering,grid.412067.6,09,95,0.7789473684210526,0.9894736842105263,0.21052631578947367,0.010526315789473717,CN,45.70709,126.624044,9628
Rio de Janeiro State University,Engineering,grid.412211.5,09,85,0.3411764705882353,0.9529411764705882,0.6117647058823529,0.04705882352941182,BR,-22.911111,-43.236111,1486
Semnan University,Engineering,grid.412475.1,09,88,0.48863636363636365,0.9659090909090909,0.4772727272727273,0.03409090909090906,IR,35.600556,53.436667,9490
COMSATS University Islamabad,Engineering,grid.418920.6,09,177,0.22033898305084745,0.6271186440677966,0.4067796610169492,0.3728813559322034,PK,33.652844,73.15655,10261
University of Southern California,Engineering,grid.42505.36,09,325,0.28,0.7876923076923077,0.5076923076923077,0.2123076923076923,US,34.02051,-118.28563,1238
Tufts University,Engineering,grid.429997.8,09,138,0.2898550724637681,0.7898550724637681,0.49999999999999994,0.21014492753623187,US,42.409829,-71.121941,1183
Londrina State University,"Language, Communication and Culture",grid.411400.0,20,3,0.6666666666666666,1.0,0.33333333333333337,0.0,BR,-23.32531,-51.19998,1490
Aligarh Muslim University,"Language, Communication and Culture",grid.411340.3,20,1,0.0,0.0,0.0,1.0,IN,27.91737,78.077847,2460
Gyeongsang National University,Medical and Health Sciences,grid.256681.e,11,295,0.5796610169491525,0.9355932203389831,0.35593220338983056,0.06440677966101693,KR,35.15497,128.098009,3737
University of Newcastle Australia,Medical and Health Sciences,grid.266842.c,11,523,0.42638623326959846,0.8068833652007649,0.3804971319311664,0.19311663479923513,AU,-32.892778,151.704444,1059
University of Tokushima,Medical and Health Sciences,grid.267335.6,11,492,0.6605691056910569,0.983739837398374,0.32317073170731714,0.016260162601625994,JP,34.07,134.56,1110
Missouri University of Science and Technology,Medical and Health Sciences,grid.260128.f,11,20,0.25,0.7,0.44999999999999996,0.30000000000000004,US,37.955544,-91.773513,3495
Tulane University,Medical and Health Sciences,grid.265219.b,11,512,0.28515625,0.828125,0.54296875,0.171875,US,29.939493,-90.122273,1253
University of Colorado Boulder,Medical and Health Sciences,grid.266190.a,11,246,0.2682926829268293,0.9065040650406504,0.6382113821138211,0.0934959349593496,US,40.007367,-105.265255,1184
West Virginia University,Medical and Health Sciences,grid.268154.c,11,409,0.33007334963325186,0.8997555012224939,0.5696821515892421,0.10024449877750607,US,39.63582,-79.95453,1248
National Central University,Medical and Health Sciences,grid.37589.30,11,58,0.29310344827586204,0.6551724137931034,0.3620689655172414,0.34482758620689663,TW,24.968281,121.192889,2415
The University of Texas Southwestern Medical Center,Medical and Health Sciences,grid.267313.2,11,1549,0.31504196255648803,0.8528082633957392,0.5377663008392513,0.14719173660426071,US,32.812185,-96.840174,1553
Tokyo Metropolitan University,Medical and Health Sciences,grid.265074.2,11,52,0.28846153846153844,0.9230769230769231,0.6346153846153847,0.07692307692307687,JP,35.616667,139.377222,3656
The University of Texas Health Science Center at Houston,Medical and Health Sciences,grid.267308.8,11,1029,0.27016520894071916,0.8522837706511176,0.5821185617103984,0.1477162293488824,US,29.703307,-95.403051,1222
Yangzhou University,Medical and Health Sciences,grid.268415.c,11,146,0.5753424657534246,0.8972602739726028,0.32191780821917815,0.10273972602739723,CN,32.39964,119.426281,3374
Yamagata University,Medical and Health Sciences,grid.268394.2,11,196,0.6479591836734694,0.9795918367346939,0.33163265306122447,0.020408163265306145,JP,38.254444,140.348056,1549
Kumamoto University,Medical and Health Sciences,grid.274841.c,11,495,0.597979797979798,0.9797979797979798,0.38181818181818183,0.02020202020202022,JP,32.813889,130.728056,1099
Queensland University of Technology,Law and Legal Studies,grid.1024.7,18,16,0.25,0.6875,0.4375,0.3125,AU,-27.476833,153.028404,1435
University of Toyama,Law and Legal Studies,grid.267346.2,18,1,1.0,1.0,0.0,0.0,JP,36.699098,137.187516,3634
University of Washington,Law and Legal Studies,grid.34477.33,18,21,0.6666666666666666,0.9523809523809523,0.2857142857142857,0.04761904761904767,US,47.655537,-122.303531,1292
Wayne State University,Law and Legal Studies,grid.254444.7,18,4,0.75,1.0,0.25,0.0,US,42.359361,-83.066567,1207
University of Calabria,Psychology and Cognitive Sciences,grid.7778.f,17,8,0.875,1.0,0.125,0.0,IT,39.358391,16.225531,10109
University of Missouri-Kansas City,Law and Legal Studies,grid.266756.6,18,2,0.0,1.0,1.0,0.0,US,39.033547,-94.575578,3488
Kwangwoon University,Law and Legal Studies,grid.411202.4,18,2,0.5,1.0,0.5,0.0,KR,37.6201,127.056,3751
Kiel University,Psychology and Cognitive Sciences,grid.9764.c,17,50,0.36,0.86,0.5,0.14,DE,54.345805,10.112299,251
Kuwait University,Law and Legal Studies,grid.411196.a,18,1,0.0,0.0,0.0,1.0,KW,29.339658,47.913714,3726
Federal University of Rio Grande do Norte,Law and Legal Studies,grid.411233.6,18,1,1.0,1.0,0.0,0.0,BR,-6.466737,-37.085281,1498
University of Monastir,Law and Legal Studies,grid.411838.7,18,3,1.0,1.0,0.0,0.0,TN,35.771111,10.825278,18077
University of Utah,Law and Legal Studies,grid.223827.e,18,1,1.0,1.0,0.0,0.0,US,40.76496,-111.84215,1286
Sharif University of Technology,Law and Legal Studies,grid.412553.4,18,1,1.0,1.0,0.0,0.0,IR,35.703864,51.351583,1517
Universidade Federal do Espírito Santo,Law and Legal Studies,grid.412371.2,18,4,0.5,0.75,0.25,0.25,BR,-20.276389,-40.303056,6080
University of Iceland,Law and Legal Studies,grid.14013.37,18,5,0.8,1.0,0.19999999999999996,0.0,IS,64.13976,-21.951911,394
William & Mary,Law and Legal Studies,grid.264889.9,18,1,1.0,1.0,0.0,0.0,US,37.272055,-76.717075,3510
Northwestern Polytechnical University,Law and Legal Studies,grid.440588.5,18,7,1.0,1.0,0.0,0.0,CN,34.243642,108.913782,1407
Sorbonne University,Law and Legal Studies,grid.462844.8,18,1,0.0,1.0,1.0,0.0,FR,48.84848,2.343234,18682
University of Natural Resources and Life Sciences,Law and Legal Studies,grid.5173.0,18,1,0.0,1.0,1.0,0.0,AT,48.236667,16.337222,21
Aristotle University of Thessaloniki,Law and Legal Studies,grid.4793.9,18,9,0.7777777777777778,0.7777777777777778,0.0,0.2222222222222222,GR,40.63,22.958056,371
University of Macau,Law and Legal Studies,grid.437123.0,18,4,0.5,0.5,0.0,0.5,MO,22.13004,113.54579,156
Complutense University of Madrid,Law and Legal Studies,grid.4795.f,18,4,1.0,1.0,0.0,0.0,ES,40.447874,-3.72863,649
Sorbonne University,Education,grid.462844.8,13,7,0.0,1.0,1.0,0.0,FR,48.84848,2.343234,18682
Aristotle University of Thessaloniki,Education,grid.4793.9,13,46,0.7608695652173914,0.9130434782608695,0.15217391304347816,0.08695652173913049,GR,40.63,22.958056,371
Northwestern Polytechnical University,Education,grid.440588.5,13,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333334,CN,34.243642,108.913782,1407
University of Natural Resources and Life Sciences,Education,grid.5173.0,13,4,1.0,1.0,0.0,0.0,AT,48.236667,16.337222,21
Complutense University of Madrid,Education,grid.4795.f,13,23,0.9130434782608695,0.9565217391304348,0.0434782608695653,0.04347826086956519,ES,40.447874,-3.72863,649
Maastricht University,Education,grid.5012.6,13,77,0.5974025974025974,0.8441558441558441,0.24675324675324672,0.1558441558441559,NL,50.845833,5.687222,488
Louisiana State University,Education,grid.64337.35,13,29,0.41379310344827586,0.9310344827586207,0.5172413793103448,0.06896551724137939,US,30.413998,-91.181032,1175
Ruhr University Bochum,Education,grid.5570.7,13,9,0.3333333333333333,1.0,0.6666666666666667,-5.551115123125783e-17,DE,51.445853,7.261598,219
Goethe University Frankfurt,Education,grid.7839.5,13,17,0.17647058823529413,1.0,0.8235294117647058,2.7755575615628914e-17,DE,50.1249,8.667763,235
University of Coimbra,Education,grid.8051.c,13,37,0.7837837837837838,0.972972972972973,0.18918918918918926,0.027027027027026973,PT,40.21071,-8.42458,549
University of Milano-Bicocca,Education,grid.7563.7,13,7,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.2857142857142857,IT,45.518158,9.213232,430
University of Calabria,Education,grid.7778.f,13,6,0.8333333333333334,1.0,0.16666666666666663,0.0,IT,39.358391,16.225531,10109
University of Würzburg,Education,grid.8379.5,13,10,0.3,0.8,0.5,0.2,DE,49.788056,9.935278,273
Chulalongkorn University,Education,grid.7922.e,13,14,0.5,0.6428571428571429,0.1428571428571429,0.3571428571428571,TH,13.738497,100.530861,2531
University of Giessen,Education,grid.8664.c,13,8,0.625,1.0,0.375,0.0,DE,50.580511,8.677088,237
University of Szeged,Education,grid.9008.1,13,3,1.0,1.0,0.0,0.0,HU,46.25,20.1465,391
University of Eastern Finland,Education,grid.9668.1,13,45,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.06666666666666665,FI,62.8925,27.6783,1477
Curtin University,Economics,grid.1032.0,14,40,0.35,0.725,0.375,0.275,AU,-32.005931,115.894397,3687
